
1,11 ,0.0358322 
2,13 ,0.0220463 
3,16 ,0.0119803 
4,20 ,0.00618811 
5,25 ,0.00318499 
6,31 ,0.00167532 
7,38 ,0.000910902 
8,47 ,0.000481768 
9,58 ,0.000256409 
10,72 ,0.000134023 
11,90 ,6.86013e-05 
12,112 ,3.55846e-05 
13,140 ,1.82129e-05 
14,175 ,9.32187e-06 
15,218 ,4.82078e-06 
16,272 ,2.48122e-06 
17,340 ,1.2701e-06 
18,425 ,6.50165e-07 
19,531 ,3.33302e-07 
20,663 ,1.71208e-07 
21,828 ,8.78874e-08 
22,1035 ,4.49944e-08 
23,1293 ,2.30757e-08 
24,1616 ,1.18191e-08 
25,2020 ,6.05183e-09 
26,2525 ,3.0986e-09 
27,3156 ,1.58816e-09 
28,3945 ,8.11026e-10 
29,4931 ,4.21012e-10 
30,6163 ,2.13924e-10 
31,7703 ,1.14773e-10 
32,9628 ,4.75829e-11 
33,12035 ,4.11762e-11 
34,15043 ,1.49658e-12 
35,18803 ,8.06351e-11 
36,23503 ,2.40061e-11 
37,29378 ,4.87876e-11 
38,36722 ,1.86372e-11 
39,45902 ,1.00595e-10 
40,57377 ,9.08089e-11 
41,71721 ,2.30468e-11 
42,89651 ,7.41299e-11 
43,112063 ,3.92778e-10 
44,140078 ,6.55815e-11 
45,175097 ,7.29222e-10 
46,218871 ,2.12679e-10 
