0.1	-9.95004	-100.499	-3005.01	-150150	-1.05075e+07	
0.11	-9.03596	-83.1431	-2258.5	-102576	-6.52531e+06	
0.12	-8.27341	-69.9426	-1740.29	-72442.3	-4.22406e+06	
0.13	-7.6274	-59.6695	-1369.36	-52608.1	-2.83137e+06	
0.14	-7.07297	-51.518	-1096.88	-39122.9	-1.95505e+06	
0.15	-6.59181	-44.9416	-892.241	-29696.4	-1.38494e+06	
0.16	-6.17017	-39.5593	-735.567	-22946.9	-1.00319e+06	
0.17	-5.79756	-35.0985	-613.587	-18011.6	-741040	
0.18	-5.4658	-31.3602	-517.203	-14335.4	-556971	
0.19	-5.16844	-28.1963	-440.037	-11551.7	-425150	
0.2	-4.90033	-25.495	-377.525	-9412.63	-329064	
0.21	-4.65729	-23.1702	-326.346	-7746.98	-257906	
0.22	-4.4359	-21.1551	-284.043	-6434.37	-204446	
0.23	-4.23333	-19.397	-248.771	-5388.67	-163754	
0.24	-4.04724	-17.8539	-219.127	-4547.29	-132410	
0.25	-3.87565	-16.4922	-194.031	-3864.13	-108002	
0.26	-3.71688	-15.2845	-172.643	-3304.76	-88801.8	
0.27	-3.56952	-14.2083	-154.301	-2843.22	-73558.7	
0.28	-3.43234	-13.2453	-138.482	-2459.65	-61352.7	
0.29	-3.30429	-12.3801	-124.766	-2138.76	-51500.5	
0.3	-3.18445	-11.5999	-112.815	-1868.65	-43488.9	
0.31	-3.07204	-10.8939	-102.353	-1639.95	-36928.9	
0.32	-2.96636	-10.2529	-93.1546	-1445.29	-31522.5	
0.33	-2.86679	-9.66921	-85.0351	-1278.74	-27039.8	
0.34	-2.77281	-9.13616	-77.8404	-1135.58	-23301.7	
0.35	-2.68392	-8.64806	-71.4423	-1011.96	-20167.7	
0.36	-2.59971	-8.19997	-65.7333	-904.763	-17526.9	
0.37	-2.5198	-7.78762	-60.6231	-811.443	-15291	
0.38	-2.44385	-7.4073	-56.0348	-729.893	-13389.4	
0.39	-2.37156	-7.05577	-51.9036	-658.375	-11765.1	
0.4	-2.30265	-6.73018	-48.1737	-595.441	-10372	
0.41	-2.23688	-6.42802	-44.7974	-539.882	-9172.7	
0.42	-2.17402	-6.1471	-41.7338	-490.684	-8136.34	
0.43	-2.11387	-5.88545	-38.9474	-446.992	-7237.66	
0.44	-2.05625	-5.64135	-36.4075	-408.08	-6455.78	
0.45	-2.00099	-5.41324	-34.0873	-373.334	-5773.34	
0.46	-1.94794	-5.19976	-31.9635	-342.23	-5175.88	
0.47	-1.89695	-4.99966	-30.0158	-314.317	-4651.3	
0.48	-1.84791	-4.81184	-28.2261	-289.21	-4189.42	
0.49	-1.80068	-4.63532	-26.5788	-266.577	-3781.66	
