<<<<<<< HEAD
1.67097 ,0.214324 ,0.337548 ,0 
0.168573 ,0.749107 ,0.312256 ,1 
1.64223 ,0.789691 ,0.826213 ,2 
0.178987 ,0.217416 ,0.781352 ,3 
1.62948 ,0.189294 ,1.29956 ,4 
0.126958 ,0.671372 ,1.22587 ,5 
1.59949 ,0.742512 ,1.81991 ,6 
0.167586 ,0.220579 ,1.77871 ,7 
1.58809 ,1.26085 ,0.303859 ,8 
0.150252 ,1.76767 ,0.313301 ,9 
1.62676 ,1.72046 ,0.805728 ,10 
0.105331 ,1.23838 ,0.747761 ,11 
1.69158 ,1.23305 ,1.34635 ,12 
0.135006 ,1.72188 ,1.28076 ,13 
1.61642 ,1.72824 ,1.79082 ,14 
0.162879 ,1.22622 ,1.86848 ,15 
0.694008 ,0.17881 ,0.298726 ,16 
1.10794 ,0.717609 ,0.309456 ,17 
0.640749 ,0.728083 ,0.812578 ,18 
1.16417 ,0.220104 ,0.733571 ,19 
0.692944 ,0.140181 ,1.30963 ,20 
1.15678 ,0.703175 ,1.27322 ,21 
0.674846 ,0.682251 ,1.6976 ,22 
1.15672 ,0.237761 ,1.83667 ,23 
0.652205 ,1.29536 ,0.29074 ,24 
1.1482 ,1.74794 ,0.311406 ,25 
0.613002 ,1.7057 ,0.82502 ,26 
1.07911 ,1.23099 ,0.803971 ,27 
0.606667 ,1.18408 ,1.35839 ,28 
1.21619 ,1.67307 ,1.2539 ,29 
0.653557 ,1.73054 ,1.81699 ,30 
1.14402 ,1.22019 ,1.78395 ,31 
=======
1.98333 ,1.97323 ,0.202324 ,0 
0.0103544 ,0.783046 ,0.0212677 ,1 
0.0100085 ,4.48331e-05 ,0.178992 ,2 
0.895033 ,1.9547 ,0.0836938 ,3 
8.1207e-05 ,1.77503 ,1.00637 ,4 
1.87269 ,0.00388374 ,0.935672 ,5 
0.0530955 ,1.87062 ,0.0197199 ,6 
0.727651 ,1.84155 ,1.39419 ,7 
1.98814 ,0.996899 ,1.9957 ,8 
0.669228 ,1.18389 ,1.93848 ,9 
0.0174247 ,1.99142 ,1.92862 ,10 
1.9961 ,0.855175 ,0.0473397 ,11 
1.91644 ,1.04925 ,0.981247 ,12 
0.427305 ,0.222896 ,1.29601 ,13 
1.93076 ,0.0804452 ,1.98772 ,14 
0.162918 ,0.962347 ,0.802455 ,15 
0.84734 ,0.172219 ,1.99597 ,16 
1.91846 ,0.107866 ,0.173334 ,17 
0.682137 ,0.0483567 ,0.599065 ,18 
1.96883 ,1.96447 ,1.98442 ,19 
1.20679 ,1.94885 ,0.656127 ,20 
1.16616 ,0.0822701 ,1.26859 ,21 
1.0588 ,0.0320299 ,0.0293186 ,22 
0.0106423 ,0.358761 ,1.87959 ,23 
0.819501 ,0.764518 ,0.0476708 ,24 
0.00425357 ,1.17302 ,1.67568 ,25 
1.40143 ,1.23304 ,0.0579999 ,26 
1.35321 ,0.636252 ,0.808383 ,27 
0.910829 ,1.09675 ,1.18174 ,28 
0.0802269 ,1.97018 ,0.91072 ,29 
1.18333 ,1.90682 ,1.9077 ,30 
1.30316 ,0.719254 ,1.77488 ,31 
>>>>>>> origin/main
