
220,27.375 ,-nan 
221,27.5 ,-nan 
222,27.625 ,-nan 
223,27.75 ,-nan 
224,27.875 ,-nan 
225,28 ,-nan 
226,28.125 ,-nan 
227,28.25 ,-nan 
228,28.375 ,-nan 
229,28.5 ,-nan 
230,28.625 ,-nan 
231,28.75 ,-nan 
232,28.875 ,-nan 
233,29 ,-nan 
234,29.125 ,-nan 
235,29.25 ,-nan 
236,29.375 ,-nan 
237,29.5 ,-nan 
238,29.625 ,-nan 
239,29.75 ,-nan 
240,29.875 ,-nan 
241,30 ,-nan 
242,30.125 ,-nan 
243,30.25 ,-nan 
244,30.375 ,-nan 
245,30.5 ,-nan 
246,30.625 ,-nan 
247,30.75 ,-nan 
248,30.875 ,-nan 
249,31 ,-nan 
250,31.125 ,-nan 
251,31.25 ,-nan 
252,31.375 ,-nan 
253,31.5 ,-nan 
254,31.625 ,-nan 
255,31.75 ,-nan 
256,31.875 ,-nan 
257,32 ,-nan 
258,32.125 ,-nan 
259,32.25 ,-nan 
260,32.375 ,-nan 
261,32.5 ,-nan 
262,32.625 ,-nan 
263,32.75 ,-nan 
264,32.875 ,-nan 
265,33 ,-nan 
266,33.125 ,-nan 
267,33.25 ,-nan 
268,33.375 ,-nan 
269,33.5 ,-nan 
270,33.625 ,-nan 
271,33.75 ,-nan 
272,33.875 ,-nan 
273,34 ,-nan 
274,34.125 ,-nan 
275,34.25 ,-nan 
276,34.375 ,-nan 
277,34.5 ,-nan 
278,34.625 ,-nan 
279,34.75 ,-nan 
280,34.875 ,-nan 
281,35 ,-nan 
282,35.125 ,-nan 
283,35.25 ,-nan 
284,35.375 ,-nan 
285,35.5 ,-nan 
286,35.625 ,-nan 
287,35.75 ,-nan 
288,35.875 ,-nan 
289,36 ,-nan 
290,36.125 ,-nan 
291,36.25 ,-nan 
292,36.375 ,-nan 
293,36.5 ,-nan 
294,36.625 ,-nan 
295,36.75 ,-nan 
296,36.875 ,-nan 
297,37 ,-nan 
298,37.125 ,-nan 
299,37.25 ,-nan 
300,37.375 ,-nan 
301,37.5 ,-nan 
302,37.625 ,-nan 
303,37.75 ,-nan 
304,37.875 ,-nan 
305,38 ,-nan 
306,38.125 ,-nan 
307,38.25 ,-nan 
308,38.375 ,-nan 
309,38.5 ,-nan 
310,38.625 ,-nan 
311,38.75 ,-nan 
312,38.875 ,-nan 
313,39 ,-nan 
314,39.125 ,-nan 
315,39.25 ,-nan 
316,39.375 ,-nan 
317,39.5 ,-nan 
318,39.625 ,-nan 
319,39.75 ,-nan 
320,39.875 ,-nan 
321,40 ,-nan 
322,40.125 ,-nan 
323,40.25 ,-nan 
324,40.375 ,-nan 
325,40.5 ,-nan 
326,40.625 ,-nan 
327,40.75 ,-nan 
328,40.875 ,-nan 
329,41 ,-nan 
330,41.125 ,-nan 
331,41.25 ,-nan 
332,41.375 ,-nan 
333,41.5 ,-nan 
334,41.625 ,-nan 
335,41.75 ,-nan 
336,41.875 ,-nan 
337,42 ,-nan 
338,42.125 ,-nan 
339,42.25 ,-nan 
340,42.375 ,-nan 
341,42.5 ,-nan 
342,42.625 ,-nan 
343,42.75 ,-nan 
344,42.875 ,-nan 
345,43 ,-nan 
346,43.125 ,-nan 
347,43.25 ,-nan 
348,43.375 ,-nan 
349,43.5 ,-nan 
350,43.625 ,-nan 
351,43.75 ,-nan 
352,43.875 ,-nan 
353,44 ,-nan 
354,44.125 ,-nan 
355,44.25 ,-nan 
356,44.375 ,-nan 
357,44.5 ,-nan 
358,44.625 ,-nan 
359,44.75 ,-nan 
