0.2,0.777
0.3,0.778
0.4,0.78
0.5,0.782
0.6,0.785
0.7,0.788
0.8,0.791
0.9,0.795
1,0.8
1.1,0.805
1.2,0.81
1.3,0.816
1.4,0.822
1.5,0.828
1.6,0.835
1.7,0.842
1.8,0.849
1.9,0.856
2,0.864
2.1,0.871
2.2,0.878
2.3,0.886
2.4,0.893
2.5,0.901
2.6,0.908
2.7,0.915
2.8,0.923
2.9,0.93
3,0.938
3.1,0.945
3.2,0.953
3.3,0.96
3.4,0.968
3.5,0.975
3.6,0.982
3.7,0.989
3.8,0.997
3.9,1.004
4,1.01
4.1,1.017
4.2,1.023
4.3,1.029
4.4,1.035
4.5,1.04
4.6,1.044
4.7,1.048
4.8,1.052
4.9,1.055
5,1.058
5.1,1.06
5.2,1.062
5.3,1.064
5.4,1.065
5.5,1.065
5.6,1.066
5.7,1.066
5.8,1.065
5.9,1.064
6,1.063
6.1,1.062
6.2,1.06
6.3,1.058
6.4,1.056
6.5,1.054
6.6,1.052
6.7,1.05
6.8,1.048
6.9,1.045
7,1.043
7.1,1.041
7.2,1.039
7.3,1.037
7.4,1.035
7.5,1.033
7.6,1.031
7.7,1.029
7.8,1.027
7.9,1.025
8,1.024
8.1,1.022
8.2,1.02
8.3,1.019
8.4,1.017
8.5,1.016
8.6,1.014
8.7,1.013
8.8,1.012
8.9,1.01
9,1.009
9.1,1.008
9.2,1.007
9.3,1.006
9.4,1.005
9.5,1.004
9.6,1.004
9.7,1.003
9.8,1.003
9.9,1.002
10,1.002
10.1,1.001
10.2,1.001
10.3,1.001
10.4,1.001
10.5,1.001
10.6,1.001
10.7,1.001
10.8,1.001
10.9,1.001
11,1
11.1,1
11.2,0.999
11.3,0.997
11.4,0.995
11.5,0.993
11.6,0.99
11.7,0.987
11.8,0.984
11.9,0.98
12,0.976
12.1,0.972
12.2,0.967
12.3,0.963
12.4,0.958
12.5,0.952
12.6,0.946
12.7,0.939
12.8,0.932
12.9,0.924
13,0.914
13.1,0.905
13.2,0.894
13.3,0.882
13.4,0.87
13.5,0.857
13.6,0.844
13.7,0.83
13.8,0.816
13.9,0.802
14,0.788
14.1,0.773
14.2,0.758
14.3,0.742
14.4,0.726
14.5,0.709
14.6,0.692
14.7,0.675
14.8,0.658
14.9,0.642
15,0.625
15.1,0.609
15.2,0.593
15.3,0.578
15.4,0.564
15.5,0.549
15.6,0.535
15.7,0.522
15.8,0.508
15.9,0.495
16,0.481
16.1,0.468
16.2,0.455
16.3,0.441
16.4,0.428
16.5,0.415
16.6,0.402
16.7,0.389
16.8,0.376
16.9,0.362
17,0.349
17.1,0.336
17.2,0.324
17.3,0.311
17.4,0.298
17.5,0.285
17.6,0.273
17.7,0.261
17.8,0.249
17.9,0.238
18,0.226
18.1,0.216
18.2,0.205
18.3,0.195
18.4,0.186
18.5,0.177
18.6,0.168
18.7,0.159
18.8,0.15
18.9,0.142
19,0.134
19.1,0.126
19.2,0.118
19.3,0.111
19.4,0.104
19.5,0.098
19.6,0.092
19.7,0.087
19.8,0.081
19.9,0.077
20,0.072
20.1,0.068
20.2,0.064
20.3,0.06
20.4,0.056
20.5,0.052
20.6,0.049
20.7,0.045
20.8,0.042
20.9,0.039
21,0.036
21.1,0.034
21.2,0.031
21.3,0.029
21.4,0.027
21.5,0.025
21.6,0.023
21.7,0.021
21.8,0.02
21.9,0.018
22,0.017
22.1,0.015
22.2,0.014
22.3,0.013
22.4,0.012
22.5,0.011
22.6,0.01
22.7,0.009
22.8,0.008
22.9,0.008
23,0.007
23.1,0.007
23.2,0.006
23.3,0.006
23.4,0.006
23.5,0.006
23.6,0.006
23.7,0.006
23.8,0.006
23.9,0.006
24,0.006
24.1,0.006
24.2,0.006
24.3,0.006
24.4,0.007
24.5,0.007
24.6,0.007
24.7,0.007
24.8,0.007
24.9,0.007
25,0.007
25.1,0.007
25.2,0.006
25.3,0.006
25.4,0.006
25.5,0.006
25.6,0.006
25.7,0.006
25.8,0.005
25.9,0.005
26,0.005
26.1,0.005
26.2,0.004
26.3,0.004
26.4,0.004
26.5,0.003
26.6,0.003
26.7,0.003
26.8,0.002
26.9,0.002
27,0.002
27.1,0.001
27.2,0.001
27.3,0.001
27.4,0
27.5,0
27.6,0
27.7,0
27.8,-0.001
27.9,-0.001
28,-0.001
28.1,-0.001
28.2,-0.001
28.3,-0.002
28.4,-0.002
28.5,-0.002
28.6,-0.002
28.7,-0.001
28.8,-0.001
28.9,-0.001
29,-0.001
29.1,0
